code,name,close_20260506,close_20260529,close_20260601,close_20260608,close_20260615,close_20260623,close_20260626,chg_5/6→5/29,chg_5/29→6/26,chg_6/1→6/8,chg_6/8→6/26,chg_全区间
002312.SZ,鼎龙股份,10.93,9.05,9.15,8.27,8.93,9.59,10.11,-17.2,11.7,-9.6,22.2,-7.5
002371.SZ,北方华创,545.35,629.87,589.89,585.74,682.22,747.49,813.37,15.5,29.1,-0.7,38.9,49.1
002409.SZ,雅克科技,90.21,107.67,104.99,105.62,138.83,157.32,188.6,19.4,75.2,0.6,78.6,109.1
300666.SZ,江丰电子,182.01,190.2,188.06,193.57,293.6,292.83,354.78,4.5,86.5,2.9,83.3,94.9
601133.SH,柏诚股份,23.76,26.57,25.36,27.13,32.4,29.43,38.28,11.8,44.1,7.0,41.1,61.1
603859.SH,能科科技,41.14,41.59,43.9,49.87,51.79,49.65,46.91,1.1,12.8,13.6,-5.9,14.0
603998.SH,方邦股份,11.01,9.9,10.16,9.65,9.73,9.52,8.85,-10.1,-10.6,-5.0,-8.3,-19.6
688012.SH,中微公司,383.3,297.68,273.0,265.47,319.98,371.72,413.0,-22.3,38.7,-2.8,55.6,7.7
688019.SH,安集科技,259.85,284.23,268.0,259.78,233.67,246.1,274.48,9.4,-3.4,-3.1,5.7,5.6
688072.SH,拓荆科技,464.16,627.99,583.35,568.47,669.69,770.0,832.0,35.3,32.5,-2.6,46.4,79.2
688082.SH,盛美上海,157.2,229.04,215.15,245.6,315.0,399.81,414.0,45.7,80.8,14.2,68.6,163.4
688126.SH,沪硅产业,22.33,27.7,25.88,26.44,31.22,32.22,34.86,24.0,25.8,2.2,31.8,56.1
688200.SH,华峰测控,347.0,398.04,377.3,437.1,298.0,424.15,469.1,14.7,17.9,15.8,7.3,35.2
688347.SH,华虹半导体,152.0,236.68,222.9,213.8,238.28,292.08,323.0,55.7,36.5,-4.1,51.1,112.5
688720.SH,艾森股份,80.61,92.26,87.92,87.56,72.46,83.15,94.26,14.5,2.2,-0.4,7.7,16.9
688981.SH,中芯国际,123.1,139.91,132.44,121.92,130.52,141.7,148.76,13.7,6.3,-7.9,22.0,20.8
