ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,name,code
688981.SH,20260626,153.7,156.22,146.5,148.76,156.86,-8.1,-5.1638,1076155.43,16171921.139,中芯国际,688981.SH
688981.SH,20260625,152.0,158.66,151.0,156.86,151.53,5.33,3.5175,1186102.37,18470621.628,中芯国际,688981.SH
688981.SH,20260624,141.5,156.35,141.32,151.53,141.7,9.83,6.9372,1411623.83,21160854.009,中芯国际,688981.SH
688981.SH,20260623,143.58,148.3,139.6,141.7,145.59,-3.89,-2.6719,918201.09,13211881.994,中芯国际,688981.SH
688981.SH,20260622,140.78,148.0,140.0,145.59,140.7,4.89,3.4755,1060960.58,15251149.626,中芯国际,688981.SH
688981.SH,20260618,136.11,144.63,132.88,140.7,134.7,6.0,4.4543,1244937.14,17289251.566,中芯国际,688981.SH
688981.SH,20260617,127.91,134.88,126.68,134.7,130.14,4.56,3.5039,963562.12,12699097.858,中芯国际,688981.SH
688981.SH,20260616,131.0,134.34,127.93,130.14,130.52,-0.38,-0.2911,745583.01,9738547.521,中芯国际,688981.SH
688981.SH,20260615,128.59,131.0,124.89,130.52,124.88,5.64,4.5163,728604.09,9404695.623,中芯国际,688981.SH
688981.SH,20260612,131.64,134.87,124.37,124.88,127.4,-2.52,-1.978,817437.29,10575818.607,中芯国际,688981.SH
688981.SH,20260611,124.0,129.08,123.01,127.4,125.34,2.06,1.6435,626275.99,7935636.355,中芯国际,688981.SH
688981.SH,20260610,125.0,131.18,124.5,125.34,127.3,-1.96,-1.5397,669094.14,8511488.618,中芯国际,688981.SH
688981.SH,20260609,123.5,128.03,120.89,127.3,121.92,5.38,4.4127,769662.77,9607775.526,中芯国际,688981.SH
688981.SH,20260608,120.0,124.28,120.0,121.92,127.4,-5.48,-4.3014,781225.59,9545783.582,中芯国际,688981.SH
688981.SH,20260605,131.0,134.75,126.7,127.4,134.88,-7.48,-5.5457,934574.33,12150117.807,中芯国际,688981.SH
688981.SH,20260604,131.0,137.57,130.0,134.88,134.0,0.88,0.6567,778526.88,10493292.686,中芯国际,688981.SH
688981.SH,20260603,132.0,138.75,131.85,134.0,132.48,1.52,1.1473,992127.45,13487781.965,中芯国际,688981.SH
688981.SH,20260602,132.98,135.5,129.3,132.48,132.44,0.04,0.0302,923688.2,12256037.221,中芯国际,688981.SH
688981.SH,20260601,139.76,140.8,132.04,132.44,139.91,-7.47,-5.3391,1008849.14,13645017.172,中芯国际,688981.SH
688981.SH,20260529,150.92,152.38,138.49,139.91,153.7,-13.79,-8.972,1536812.64,22138462.395,中芯国际,688981.SH
688981.SH,20260528,146.0,159.05,146.0,153.7,146.22,7.48,5.1156,1608231.75,24822318.598,中芯国际,688981.SH
688981.SH,20260527,150.0,153.52,145.0,146.22,149.18,-2.96,-1.9842,1234983.75,18473692.356,中芯国际,688981.SH
688981.SH,20260526,150.73,154.44,145.5,149.18,156.0,-6.82,-4.3718,1799242.41,26787296.677,中芯国际,688981.SH
688981.SH,20260525,136.0,157.6,136.0,156.0,131.33,24.67,18.7847,2521802.26,37253708.024,中芯国际,688981.SH
688981.SH,20260522,129.33,132.18,126.5,131.33,127.22,4.11,3.2306,1199477.88,15516843.653,中芯国际,688981.SH
688981.SH,20260521,134.0,137.63,127.1,127.22,133.81,-6.59,-4.9249,1546776.71,20601829.525,中芯国际,688981.SH
688981.SH,20260520,118.0,136.63,117.5,133.81,118.82,14.99,12.6157,2248800.56,28996720.135,中芯国际,688981.SH
688981.SH,20260519,116.16,118.88,112.68,118.82,117.62,1.2,1.0202,840269.78,9713877.346,中芯国际,688981.SH
688981.SH,20260518,117.4,120.34,115.6,117.62,119.02,-1.4,-1.1763,748969.19,8855418.364,中芯国际,688981.SH
688981.SH,20260515,121.0,125.0,118.48,119.02,117.9,1.12,0.95,1328100.54,16152497.227,中芯国际,688981.SH
688981.SH,20260514,121.92,124.04,117.0,117.9,121.86,-3.96,-3.2496,790650.15,9451219.953,中芯国际,688981.SH
688981.SH,20260513,119.0,122.5,116.04,121.86,121.98,-0.12,-0.0984,954951.48,11374279.337,中芯国际,688981.SH
688981.SH,20260512,124.44,125.44,120.0,121.98,122.52,-0.54,-0.4407,817732.34,10018643.228,中芯国际,688981.SH
688981.SH,20260511,122.99,124.57,121.9,122.52,120.31,2.21,1.8369,814859.72,10017304.327,中芯国际,688981.SH
688981.SH,20260508,122.9,123.19,120.05,120.31,125.34,-5.03,-4.0131,708618.1,8595731.864,中芯国际,688981.SH
688981.SH,20260507,125.11,127.48,122.22,125.34,123.1,2.24,1.8197,842774.03,10482928.52,中芯国际,688981.SH
688981.SH,20260506,122.0,128.12,121.74,123.1,118.73,4.37,3.6806,1292940.51,16176667.799,中芯国际,688981.SH
688347.SH,20260626,320.0,337.96,310.8,323.0,330.36,-7.36,-2.2279,222701.63,7197583.824,华虹半导体,688347.SH
688347.SH,20260625,315.0,336.0,308.2,330.36,316.01,14.35,4.541,248068.31,8076831.854,华虹半导体,688347.SH
688347.SH,20260624,285.5,326.76,284.0,316.01,292.08,23.93,8.193,284594.52,8803641.181,华虹半导体,688347.SH
688347.SH,20260623,278.0,302.0,272.4,292.08,280.0,12.08,4.3143,252818.74,7322917.425,华虹半导体,688347.SH
688347.SH,20260622,280.02,285.97,264.53,280.0,277.81,2.19,0.7883,256793.81,7087314.404,华虹半导体,688347.SH
688347.SH,20260618,258.0,293.1,255.0,277.81,260.7,17.11,6.5631,264870.89,7255897.707,华虹半导体,688347.SH
688347.SH,20260617,232.0,261.2,229.7,260.7,238.5,22.2,9.3082,281703.16,6999109.433,华虹半导体,688347.SH
688347.SH,20260616,238.28,244.22,232.6,238.5,238.28,0.22,0.0923,220470.25,5271254.077,华虹半导体,688347.SH
688347.SH,20260615,220.0,243.31,215.5,238.28,218.37,19.91,9.1176,277266.89,6438826.686,华虹半导体,688347.SH
688347.SH,20260612,235.35,238.88,218.18,218.37,221.35,-2.98,-1.3463,350610.96,7914971.959,华虹半导体,688347.SH
688347.SH,20260611,223.13,228.5,213.0,221.35,221.81,-0.46,-0.2074,213936.72,4715220.753,华虹半导体,688347.SH
688347.SH,20260610,226.03,238.5,220.0,221.81,227.4,-5.59,-2.4582,240876.62,5488311.886,华虹半导体,688347.SH
688347.SH,20260609,220.11,231.38,210.74,227.4,213.8,13.6,6.3611,267099.49,5897664.177,华虹半导体,688347.SH
688347.SH,20260608,207.66,222.5,207.66,213.8,227.0,-13.2,-5.815,237448.52,5157070.554,华虹半导体,688347.SH
688347.SH,20260605,234.01,247.5,224.0,227.0,244.0,-17.0,-6.9672,312402.08,7313810.249,华虹半导体,688347.SH
688347.SH,20260604,227.36,253.3,225.1,244.0,233.24,10.76,4.6133,286958.71,6962694.096,华虹半导体,688347.SH
688347.SH,20260603,226.3,246.33,221.58,233.24,226.5,6.74,2.9757,310970.87,7338481.576,华虹半导体,688347.SH
688347.SH,20260602,225.0,234.37,220.0,226.5,222.9,3.6,1.6151,290078.51,6569373.164,华虹半导体,688347.SH
688347.SH,20260601,241.41,245.88,217.97,222.9,236.68,-13.78,-5.8222,414450.57,9455904.418,华虹半导体,688347.SH
688347.SH,20260529,250.36,252.83,232.3,236.68,249.65,-12.97,-5.1953,392213.26,9467822.392,华虹半导体,688347.SH
688347.SH,20260528,217.7,258.0,217.7,249.65,215.61,34.04,15.7878,436240.61,10546802.605,华虹半导体,688347.SH
688347.SH,20260527,217.98,230.5,214.57,215.61,222.42,-6.81,-3.0618,406616.17,8992329.509,华虹半导体,688347.SH
688347.SH,20260526,214.8,228.88,209.99,222.42,214.8,7.62,3.5475,525254.14,11400361.219,华虹半导体,688347.SH
688347.SH,20260525,183.0,214.8,179.0,214.8,179.0,35.8,20.0,501921.91,9976682.127,华虹半导体,688347.SH
688347.SH,20260522,169.0,182.54,163.66,179.0,169.0,10.0,5.9172,398938.24,6931875.446,华虹半导体,688347.SH
688347.SH,20260521,177.72,185.0,166.96,169.0,177.8,-8.8,-4.9494,431729.22,7604886.909,华虹半导体,688347.SH
688347.SH,20260520,148.2,178.8,147.5,177.8,149.74,28.06,18.7391,544144.06,9023039.898,华虹半导体,688347.SH
688347.SH,20260519,146.5,150.5,140.0,149.74,147.8,1.94,1.3126,265914.39,3851630.743,华虹半导体,688347.SH
688347.SH,20260518,148.91,154.17,146.18,147.8,150.09,-2.29,-1.5258,248058.45,3709960.224,华虹半导体,688347.SH
688347.SH,20260515,162.0,168.66,147.71,150.09,157.86,-7.77,-4.9221,431421.2,6663024.535,华虹半导体,688347.SH
688347.SH,20260514,163.27,164.0,154.5,157.86,160.62,-2.76,-1.7183,200539.6,3186987.129,华虹半导体,688347.SH
688347.SH,20260513,158.1,161.31,153.8,160.62,160.66,-0.04,-0.0249,222079.55,3507223.473,华虹半导体,688347.SH
688347.SH,20260512,163.76,165.59,158.0,160.66,164.41,-3.75,-2.2809,237340.26,3818844.693,华虹半导体,688347.SH
688347.SH,20260511,165.0,169.18,162.2,164.41,158.96,5.45,3.4285,275011.66,4543361.673,华虹半导体,688347.SH
688347.SH,20260508,160.46,162.0,153.87,158.96,165.92,-6.96,-4.1948,314120.42,4959821.976,华虹半导体,688347.SH
688347.SH,20260507,154.7,169.98,149.88,165.92,152.0,13.92,9.1579,348686.03,5574408.187,华虹半导体,688347.SH
688347.SH,20260506,145.01,158.65,145.0,152.0,141.0,11.0,7.8014,381166.47,5792069.74,华虹半导体,688347.SH
002371.SZ,20260626,795.0,828.0,782.17,813.37,798.0,15.37,1.9261,124030.65,10009100.5726,北方华创,002371.SZ
002371.SZ,20260625,778.0,810.0,775.0,798.0,770.07,27.93,3.6269,118839.96,9454404.9072,北方华创,002371.SZ
002371.SZ,20260624,727.07,774.5,727.0,770.07,747.49,22.58,3.0208,131087.82,9923151.13144,北方华创,002371.SZ
002371.SZ,20260623,748.72,762.0,721.0,747.49,745.0,2.49,0.3342,99685.69,7407390.87071,北方华创,002371.SZ
002371.SZ,20260622,739.98,758.0,723.47,745.0,721.04,23.96,3.323,107526.6,7964031.58049,北方华创,002371.SZ
002371.SZ,20260618,704.98,733.88,703.7,721.04,704.22,16.82,2.3885,104611.44,7528527.76234,北方华创,002371.SZ
002371.SZ,20260617,660.39,705.0,657.0,704.22,672.19,32.03,4.765,113479.4,7737166.59357,北方华创,002371.SZ
002371.SZ,20260616,680.0,681.9,660.36,672.19,682.22,-10.03,-1.4702,86768.4,5816489.19976,北方华创,002371.SZ
002371.SZ,20260615,669.8,687.66,640.0,682.22,667.19,15.03,2.2527,125640.25,8419209.35838,北方华创,002371.SZ
002371.SZ,20260612,666.19,680.99,655.18,667.19,637.5,29.69,4.6573,153480.01,10273824.8167,北方华创,002371.SZ
002371.SZ,20260611,624.85,648.0,620.0,637.5,619.2,18.3,2.9554,113666.81,7233711.95338,北方华创,002371.SZ
002371.SZ,20260610,615.0,641.01,610.0,619.2,617.1,2.1,0.3403,106912.87,6682089.13688,北方华创,002371.SZ
002371.SZ,20260609,601.02,619.8,594.59,617.1,585.74,31.36,5.3539,102005.7,6210398.73226,北方华创,002371.SZ
002371.SZ,20260608,570.04,598.8,568.22,585.74,603.36,-17.62,-2.9203,97859.02,5746335.589,北方华创,002371.SZ
002371.SZ,20260605,615.0,619.59,600.0,603.36,627.0,-23.64,-3.7703,80843.36,4927541.316,北方华创,002371.SZ
002371.SZ,20260604,610.14,637.85,606.0,627.0,614.84,12.16,1.9778,120620.3,7582080.352,北方华创,002371.SZ
002371.SZ,20260603,602.81,633.66,594.0,614.84,602.8,12.04,1.9973,144161.28,8857781.075,北方华创,002371.SZ
002371.SZ,20260602,586.1,615.79,584.19,602.8,589.89,12.91,2.1885,126306.18,7607842.357,北方华创,002371.SZ
002371.SZ,20260601,624.99,629.8,588.92,589.89,629.87,-39.98,-6.3473,151000.0,9081578.562,北方华创,002371.SZ
002371.SZ,20260529,656.12,659.0,623.78,629.87,659.0,-29.13,-4.4203,147460.88,9395846.45,北方华创,002371.SZ
002371.SZ,20260528,650.0,668.67,646.88,659.0,654.77,4.23,0.646,112599.61,7404040.632,北方华创,002371.SZ
002371.SZ,20260527,675.0,692.0,650.6,654.77,670.25,-15.48,-2.3096,138670.15,9316824.887,北方华创,002371.SZ
002371.SZ,20260526,690.0,701.0,656.66,670.25,698.19,-27.94,-4.0018,148547.83,9987761.068,北方华创,002371.SZ
002371.SZ,20260525,650.13,719.05,626.11,698.19,669.0,29.19,4.3632,204121.85,13734699.753,北方华创,002371.SZ
002371.SZ,20260522,663.03,673.0,637.0,669.0,662.99,6.01,0.9065,198562.64,12983362.651,北方华创,002371.SZ
002371.SZ,20260521,656.8,721.6,656.7,662.99,656.0,6.99,1.0655,231618.69,15989585.023,北方华创,002371.SZ
002371.SZ,20260520,618.0,660.0,614.0,656.0,619.7,36.3,5.8577,164059.48,10520821.53,北方华创,002371.SZ
002371.SZ,20260519,590.0,627.17,581.5,619.7,597.97,21.73,3.634,144594.6,8822267.528,北方华创,002371.SZ
002371.SZ,20260518,601.0,623.27,592.76,597.97,592.0,5.97,1.0084,175235.1,10601040.073,北方华创,002371.SZ
002371.SZ,20260515,569.8,620.84,555.0,592.0,564.4,27.6,4.8901,232994.94,13839689.388,北方华创,002371.SZ
002371.SZ,20260514,581.0,592.66,563.43,564.4,581.0,-16.6,-2.8571,102707.03,5897833.137,北方华创,002371.SZ
002371.SZ,20260513,570.99,588.0,550.5,581.0,581.45,-0.45,-0.0774,138387.68,7878763.219,北方华创,002371.SZ
002371.SZ,20260512,573.19,584.0,564.0,581.45,573.19,8.26,1.4411,112135.95,6433742.98,北方华创,002371.SZ
002371.SZ,20260511,549.98,585.0,548.0,573.19,540.79,32.4,5.9912,144629.65,8226442.87,北方华创,002371.SZ
002371.SZ,20260508,543.0,554.8,537.2,540.79,552.14,-11.35,-2.0556,82457.28,4475463.104,北方华创,002371.SZ
002371.SZ,20260507,555.0,556.71,535.0,552.14,545.35,6.79,1.2451,97221.65,5339398.131,北方华创,002371.SZ
002371.SZ,20260506,555.0,567.0,545.0,545.35,536.99,8.36,1.5568,160277.71,8898490.131,北方华创,002371.SZ
688012.SH,20260626,397.0,423.8,393.24,413.0,399.13,13.87,3.4751,319523.25,13152855.738,中微公司,688012.SH
688012.SH,20260625,388.01,412.5,388.01,399.13,383.0,16.13,4.2115,296757.2,11902653.381,中微公司,688012.SH
688012.SH,20260624,362.5,395.0,359.3,383.0,371.72,11.28,3.0345,311931.96,11825953.84,中微公司,688012.SH
688012.SH,20260623,372.74,388.5,364.5,371.72,372.74,-1.02,-0.2736,331535.61,12416821.676,中微公司,688012.SH
688012.SH,20260622,371.99,385.0,358.0,372.74,360.0,12.74,3.5389,283319.26,10550819.523,中微公司,688012.SH
688012.SH,20260618,350.0,368.0,345.0,360.0,351.0,9.0,2.5641,261447.97,9363424.812,中微公司,688012.SH
688012.SH,20260617,314.0,351.88,312.17,351.0,319.0,32.0,10.0313,313378.7,10444151.404,中微公司,688012.SH
688012.SH,20260616,319.98,323.7,313.39,319.0,319.98,-0.98,-0.3063,205014.54,6513324.291,中微公司,688012.SH
688012.SH,20260615,309.99,319.98,299.17,319.98,303.92,16.06,5.2843,258421.73,8097859.456,中微公司,688012.SH
688012.SH,20260612,318.27,324.9,303.9,303.92,303.12,0.8,0.2639,398066.94,12488246.432,中微公司,688012.SH
688012.SH,20260611,299.99,303.86,292.0,303.12,289.11,14.01,4.8459,275032.46,8222524.303,中微公司,688012.SH
688012.SH,20260610,282.89,306.0,282.0,289.11,285.04,4.07,1.4279,296079.41,8704926.683,中微公司,688012.SH
