ts_code,trade_date,close,pe,pe_ttm,pb,ps_ttm,dv_ttm,total_mv,circ_mv,turnover_rate,turnover_rate_f,volume_ratio,name,code
688981.SH,20260626,148.76,252.6391,252.397,8.5009,18.5533,,127348645.928,29745491.75,5.382,5.5843,0.92,中芯国际,688981.SH
688981.SH,20260625,156.86,266.3953,266.14,8.9638,19.5635,,134282795.108,31365137.375,5.9318,6.1549,1.06,中芯国际,688981.SH
688981.SH,20260624,151.53,240.8945,240.6636,8.1057,17.6908,,121428488.2197,30299370.5625,7.0597,7.3252,1.43,中芯国际,688981.SH
688981.SH,20260623,141.7,225.2672,225.0514,7.5799,16.5432,,113551222.733,28333800.625,4.592,4.7647,0.97,中芯国际,688981.SH
688981.SH,20260622,145.59,231.4514,231.2296,7.788,16.9973,,116668472.2491,29111630.4375,5.306,5.5055,1.18,中芯国际,688981.SH
688981.SH,20260618,140.7,223.6775,223.4631,7.5264,16.4264,,112749873.243,28133844.375,6.226,6.4602,1.6,中芯国际,688981.SH
688981.SH,20260617,134.7,214.139,213.9338,7.2054,15.7259,,107941776.303,26934106.875,4.8189,5.0001,1.34,中芯国际,688981.SH
688981.SH,20260616,130.14,206.8898,206.6915,6.9615,15.1936,,104287622.6286,26022306.375,3.7287,3.869,1.03,中芯国际,688981.SH
688981.SH,20260615,130.52,207.4939,207.295,6.9818,15.2379,,104592135.4348,26098289.75,3.6438,3.7808,0.99,中芯国际,688981.SH
688981.SH,20260612,124.88,198.5277,198.3374,6.6801,14.5795,,100072524.3112,24970536.5,4.0881,4.5422,1.08,中芯国际,688981.SH
688981.SH,20260611,127.4,202.5338,202.3398,6.8149,14.8737,,102091924.733,25474426.8743,3.1321,3.48,0.8,中芯国际,688981.SH
688981.SH,20260610,125.34,199.259,199.068,6.7047,14.6332,,100441144.7883,25062516.9892,3.3462,3.7179,0.79,中芯国际,688981.SH
688981.SH,20260609,127.3,202.3749,202.1809,6.8096,14.862,,102011789.7842,25454431.2488,3.8492,4.2768,0.87,中芯国际,688981.SH
688981.SH,20260608,121.92,193.822,193.6363,6.5218,14.2339,,97700529.5404,24378666.5974,3.907,4.341,0.84,中芯国际,688981.SH
688981.SH,20260605,127.4,202.5338,202.3398,6.8149,14.8737,,102091924.733,25474426.8743,4.6739,5.1931,0.89,中芯国际,688981.SH
688981.SH,20260604,134.88,214.425,214.2195,7.2151,15.7469,,108085936.9749,26970099.6609,3.8935,4.326,0.64,中芯国际,688981.SH
688981.SH,20260603,134.0,213.026,212.8219,7.168,15.6442,,107380749.9602,26794138.1566,4.9617,5.5129,0.79,中芯国际,688981.SH
688981.SH,20260602,132.48,210.6012,210.3994,7.0864,15.4661,,106158475.9083,26490204.6492,4.6195,5.1326,0.64,中芯国际,688981.SH
688981.SH,20260601,132.44,210.5376,210.3359,7.0842,15.4615,,106126423.2284,26482206.399,5.0453,5.6059,0.58,中芯国际,688981.SH
688981.SH,20260529,139.91,222.4126,222.1994,7.4838,16.3335,,112112261.2042,27975879.6231,7.6857,8.5396,0.92,中芯国际,688981.SH
688981.SH,20260528,153.7,244.3343,244.1002,8.2214,17.9434,,123162422.608,30733276.3781,8.0429,8.9364,0.97,中芯国际,688981.SH
688981.SH,20260527,146.22,232.4435,232.2207,7.8213,17.0702,,117168571.4622,29237603.5915,6.1763,6.8624,0.66,中芯国际,688981.SH
688981.SH,20260526,149.18,237.1489,236.9217,7.9797,17.4157,,119540469.7766,29829474.106,8.9982,9.9978,1.08,中芯国际,688981.SH
688981.SH,20260525,156.0,247.9906,247.7529,8.3445,18.2119,,125005451.7036,31193175.7644,12.6118,14.0129,1.92,中芯国际,688981.SH
688981.SH,20260522,131.33,208.7731,208.573,7.0249,15.3319,,105236961.3605,26260254.956,5.9987,6.6651,0.89,中芯国际,688981.SH
688981.SH,20260521,127.22,202.2395,202.0457,6.805,14.8521,,101943548.4983,25438434.7484,7.7356,8.595,1.3,中芯国际,688981.SH
688981.SH,20260520,133.81,212.7155,212.5117,7.1575,15.6214,,107224227.5158,26756146.4682,11.2465,12.4959,2.41,中芯国际,688981.SH
688981.SH,20260519,118.82,188.8862,188.7052,6.3557,13.8714,,95212485.7142,23758802.2072,4.2023,4.6691,0.91,中芯国际,688981.SH
688981.SH,20260518,117.62,186.9785,186.7994,6.2915,13.7313,,94250905.3165,23518854.7013,3.7457,4.1618,0.8,中芯国际,688981.SH
688981.SH,20260515,119.02,189.2041,189.0228,6.3664,13.8948,,95372749.1139,23798793.4582,6.642,7.3798,1.62,中芯国际,688981.SH
688981.SH,20260514,117.9,187.4236,187.4236,6.264,14.0331,,94475274.076,23574842.4527,3.9541,4.3934,0.96,中芯国际,688981.SH
688981.SH,20260513,121.86,193.7188,193.7188,6.4743,14.5044,,97648489.3885,24366669.2221,4.7758,5.3064,1.07,中芯国际,688981.SH
688981.SH,20260512,121.98,193.9096,193.9096,6.4807,14.5187,,97744647.4282,24390663.9727,4.0896,4.5439,0.87,中芯国际,688981.SH
688981.SH,20260511,122.52,194.768,194.768,6.5094,14.583,,98177358.6072,24498640.3503,4.0752,4.5279,0.93,中芯国际,688981.SH
688981.SH,20260508,120.31,191.2548,191.2548,6.392,14.3199,,96406448.0414,24056737.027,3.5439,3.9376,0.83,中芯国际,688981.SH
688981.SH,20260507,125.34,199.2509,199.2509,6.6592,14.9186,,100437072.5419,25062516.9892,4.2148,4.683,0.95,中芯国际,688981.SH
688981.SH,20260506,123.1,195.6889,195.6889,6.5402,14.6519,,98641564.5523,24614614.9782,6.4661,7.1845,1.6,中芯国际,688981.SH
