name,code,date,close,chg,v626
北方华创,002371.SZ,20260626,813.37,1.93,0
中微公司,688012.SH,20260626,413.0,3.48,0
拓荆科技,688072.SH,20260626,832.0,1.09,0
沪硅产业,688126.SH,20260626,34.86,4.65,0
安集科技,688019.SH,20260626,274.48,2.21,0
中芯国际,688981.SH,20260626,148.76,-5.16,0
华虹半导体,688347.SH,20260626,323.0,-2.23,0
华峰测控,688200.SH,20260626,469.1,3.16,0
盛美上海,688082.SH,20260626,414.0,0.25,0
鼎龙股份,002312.SZ,20260626,10.11,-1.65,0
雅克科技,002409.SZ,20260626,188.6,4.18,0
江丰电子,300666.SZ,20260626,354.78,7.51,0
艾森股份,688720.SH,20260626,94.26,6.87,0
方邦股份,603998.SH,20260626,8.85,-4.01,0
柏诚股份,601133.SH,20260626,38.28,10.0,0
能科科技,603859.SH,20260626,46.91,-3.02,0
